Latitude,Longitude,Sample Date,pet,ppt,tmax,soil,q,aet,def
-28.760833,17.730278,02-01-2011,236.3,8.3,35.76,0.0,0.4,7.9,228.40001
-26.861111,28.884722,03-01-2011,236.3,8.3,35.76,0.0,0.4,7.9,228.40001
-26.45,28.085833,03-01-2011,174.2,32.7,36.1,0.0,1.6,31.1,143.1
-27.671111,27.236944,03-01-2011,174.2,32.7,36.1,0.0,1.6,31.1,143.1
-27.356667,27.286389,03-01-2011,190.7,21.400000000000002,36.21,0.0,1.1,20.4,170.3
-27.01011111,26.69808333,04-01-2011,190.7,21.400000000000002,36.21,0.0,1.1,20.4,170.3
-25.127778,27.628889,04-01-2011,149.5,5.9,31.369999,0.0,0.30000000000000004,5.6,143.90001
-25.20639,27.558,04-01-2011,149.5,5.9,31.369999,0.0,0.30000000000000004,5.6,143.90001
-24.69514,27.40906,04-01-2011,108.700005,2.5,29.46,0.0,0.1,2.4,106.3
-26.98472222,26.63227778,04-01-2011,108.700005,2.5,29.46,0.0,0.1,2.4,106.3
-28.141944,26.417778,04-01-2011,87.8,6.300000000000001,22.92,0.0,0.30000000000000004,5.9,81.9
-27.398611,26.614722,04-01-2011,87.8,6.300000000000001,22.92,0.0,0.30000000000000004,5.9,81.9
-33.501667,21.624167,04-01-2011,104.0,3.3000000000000003,22.66,0.0,0.2,3.1000001,100.9
-32.502778,19.535833,04-01-2011,104.0,3.3000000000000003,22.66,0.0,0.2,3.1000001,100.9
-25.45963889,28.26430556,04-01-2011,127.6,4.5,25.46,0.0,0.2,4.3,123.3
-27.495556,26.074722,04-01-2011,127.6,4.5,25.46,0.0,0.2,4.3,123.3
-26.648056,27.089444,05-01-2011,127.6,4.5,25.46,0.0,0.2,4.3,123.3
-26.970278,27.211111,05-01-2011,146.40001,0.2,30.019999,0.0,0.0,0.2,146.2
-27.38972222,26.46388889,05-01-2011,146.40001,0.2,30.019999,0.0,0.0,0.2,146.2
-27.044444,27.005,05-01-2011,192.40001,3.4000000000000004,30.07,0.0,0.2,3.2,189.2
-30.830556,26.921389,06-01-2011,192.40001,3.4000000000000004,30.07,0.0,0.2,3.2,189.2
-27.00222,28.76528,06-01-2011,231.1,5.4,33.329998,0.0,0.30000000000000004,5.2000003,225.90001
-27.02314,28.59389,06-01-2011,231.1,5.4,33.329998,0.0,0.30000000000000004,5.2000003,225.90001
-30.679722,26.7125,06-01-2011,257.5,1.3,34.98,0.0,0.1,1.2,256.30002
-30.160091,27.40124,06-01-2011,257.5,1.3,34.98,0.0,0.1,1.2,256.30002
-32.595833,19.009444,06-01-2011,249.8,0.4,37.14,0.0,0.0,0.4,249.40001
-25.99136,27.84208,10-01-2011,206.5,10.3,36.2,0.0,0.5,9.7,196.8
-26.73806,27.59194,10-01-2011,206.5,10.3,36.2,0.0,0.5,9.7,196.8
-26.45,28.085833,10-01-2011,203.3,12.600000000000001,36.41,0.0,0.6000000000000001,12.0,191.3
-30.86013889,29.07125,10-01-2011,203.3,12.600000000000001,36.41,0.0,0.6000000000000001,12.0,191.3
-27.356667,27.286389,10-01-2011,158.0,7.300000000000001,32.579998,0.0,0.4,6.9,151.1
-27.01011111,26.69808333,11-01-2011,158.0,7.300000000000001,32.579998,0.0,0.4,6.9,151.1
-25.73411,27.21422,11-01-2011,158.0,7.300000000000001,32.579998,0.0,0.4,6.9,151.1
-26.98472222,26.63227778,11-01-2011,112.5,0.30000000000000004,27.76,0.0,0.0,0.3,112.200005
-27.398611,26.614722,11-01-2011,112.5,0.30000000000000004,27.76,0.0,0.0,0.3,112.200005
-27.671111,27.236944,11-01-2011,82.9,7.300000000000001,23.619999,0.0,0.4,7.0,75.9
-29.160278,26.573333,11-01-2011,90.3,4.800000000000001,23.13,0.0,0.2,4.6,85.700005
-34.250556,20.9925,11-01-2011,90.3,4.800000000000001,23.13,0.0,0.2,4.6,85.700005
-25.45963889,28.26430556,11-01-2011,90.3,4.800000000000001,23.13,0.0,0.2,4.6,85.700005
-25.81048333,27.90955222,12-01-2011,119.0,6.7,23.67,0.0,0.30000000000000004,6.3,112.700005
-27.273889,28.49,12-01-2011,139.1,3.0,27.23,0.0,0.2,2.9,136.2
-27.4275,28.525833,12-01-2011,139.1,3.0,27.23,0.0,0.2,2.9,136.2
-28.883333,27.89,12-01-2011,120.5,0.4,29.46,0.0,0.0,0.4,120.1
-27.00222,28.76528,13-01-2011,86.9,3.1,24.85,0.0,0.2,2.9,84.0
-27.02314,28.59389,13-01-2011,115.3,6.800000000000001,22.769999,0.0,0.30000000000000004,6.5,108.8
-30.534167,24.961944,13-01-2011,132.5,3.3000000000000003,25.14,0.0,0.2,3.1000001,129.40001
-28.460833,21.248889,13-01-2011,195.3,0.9,31.769999,0.0,0.0,0.90000004,194.40001
-29.658056,25.973333,14-01-2011,195.3,0.9,31.769999,0.0,0.0,0.90000004,194.40001
-28.760833,17.730278,16-01-2011,195.3,0.9,31.769999,0.0,0.0,0.90000004,194.40001
-25.513889,31.224444,17-01-2011,225.5,2.4000000000000004,34.34,0.0,0.1,2.3,223.2
-26.861111,28.884722,17-01-2011,225.5,2.4000000000000004,34.34,0.0,0.1,2.3,223.2
-31.554722,29.245556,17-01-2011,244.2,0.30000000000000004,36.03,0.0,0.0,0.3,243.90001
-28.058889,30.373611,17-01-2011,205.6,7.2,37.3,0.0,0.4,6.8,198.8
-25.127778,27.628889,18-01-2011,205.6,7.2,37.3,0.0,0.4,6.8,198.8
-25.20639,27.558,18-01-2011,114.3,2.4000000000000004,29.57,0.0,0.1,2.3,112.0
-24.69514,27.40906,18-01-2011,218.1,0.6000000000000001,37.19,0.0,0.0,0.6,217.5
-25.681111,31.783333,18-01-2011,106.8,0.1,29.67,0.0,0.0,0.1,106.700005
-27.802778,28.768333,18-01-2011,106.8,0.1,29.67,0.0,0.0,0.1,106.700005
-27.398611,26.614722,18-01-2011,84.700005,7.4,23.32,0.0,0.4,7.1,77.6
-31.104278,29.399722,18-01-2011,147.2,0.5,29.13,0.0,0.0,0.4,146.8
-31.396,29.2651,18-01-2011,238.7,2.5,33.34,0.0,0.1,2.4,236.3
-33.38056,19.30167,18-01-2011,238.7,2.5,33.34,0.0,0.1,2.4,236.3
-33.31388889,19.07472222,18-01-2011,134.3,175.0,25.41,35.7,8.8,134.3,0.0
-27.495556,26.074722,18-01-2011,124.9,55.1,26.96,18.1,2.8000000000000003,70.0,54.9
-24.39619444,27.08983333,19-01-2011,124.9,55.1,26.96,18.1,2.8000000000000003,70.0,54.9
-26.970278,27.211111,19-01-2011,124.9,55.1,26.96,18.1,2.8000000000000003,70.0,54.9
-26.880278,26.965,19-01-2011,124.1,51.1,27.16,12.8,2.6,53.8,70.3
-27.273889,28.49,19-01-2011,124.1,51.1,27.16,12.8,2.6,53.8,70.3
-27.3,28.586944,19-01-2011,91.6,113.7,22.57,29.2,5.7,91.6,0.0
-27.044444,27.005,19-01-2011,91.6,113.7,22.57,29.2,5.7,91.6,0.0
-30.568333,29.422778,19-01-2011,79.0,70.10000000000001,20.56,23.9,3.5,71.9,7.1
-30.570833,29.150556,19-01-2011,79.0,70.10000000000001,20.56,23.9,3.5,71.9,7.1
-34.031944,22.053333,19-01-2011,79.0,70.10000000000001,20.56,23.9,3.5,71.9,7.1
-33.13083,18.86278,19-01-2011,70.8,22.3,17.4,15.2,1.1,29.9,40.9
-33.7075,18.97444444,19-01-2011,70.8,22.3,17.4,15.2,1.1,29.9,40.9
-25.57877778,29.12747222,19-01-2011,72.200005,2.9000000000000004,17.05,11.400001,0.1,6.5,65.700005
-26.006389,29.253889,20-01-2011,96.3,21.0,21.01,9.1,1.1,22.2,74.1
-27.02314,28.59389,20-01-2011,96.3,21.0,21.01,9.1,1.1,22.2,74.1
-30.679722,26.7125,20-01-2011,96.3,21.0,21.01,9.1,1.1,22.2,74.1
-28.460833,21.248889,20-01-2011,134.0,0.9,26.039999,7.7000003,0.0,2.3,131.7
-30.77586667,29.03221667,20-01-2011,134.0,0.9,26.039999,7.7000003,0.0,2.3,131.7
-24.925278,29.324444,21-01-2011,161.8,54.5,27.199999,6.6,2.7,52.9,108.9
-28.460833,21.248889,21-01-2011,161.8,54.5,27.199999,6.6,2.7,52.9,108.9
-24.679167,30.8025,24-01-2011,167.0,63.800000000000004,27.539999,5.9,3.2,61.4,105.6
-25.99136,27.84208,24-01-2011,167.0,63.800000000000004,27.539999,5.9,3.2,61.4,105.6
